iter	Passed	Remaining
418	2732	3789
419	2739	3783
420	2741	3770
421	2743	3757
422	2745	3745
423	2749	3734
424	2753	3724
425	2756	3714
426	2758	3701
427	2760	3689
428	2767	3683
429	2771	3674
430	2775	3663
431	2777	3652
432	2781	3642
433	2785	3632
434	2788	3621
435	2791	3611
436	2811	3622
437	2815	3612
438	2856	3650
439	2859	3639
440	2861	3627
441	2864	3616
442	2867	3605
443	2870	3594
444	2872	3582
445	2877	3573
446	2879	3562
447	2893	3564
448	2896	3554
449	2909	3555
450	2915	3548
451	2917	3537
452	2921	3527
453	2934	3528
454	2936	3517
455	2940	3507
456	2943	3496
457	2946	3486
458	2948	3475
459	2950	3464
460	2965	3467
461	2970	3458
462	2973	3448
463	2982	3445
464	2985	3435
465	2987	3423
466	2998	3422
467	3000	3411
468	3003	3401
469	3008	3392
470	3010	3380
471	3032	3392
472	3035	3382
473	3038	3371
474	3041	3361
475	3043	3350
476	3046	3340
477	3048	3329
478	3052	3319
479	3059	3314
480	3066	3308
481	3075	3304
482	3094	3311
483	3104	3310
484	3107	3300
485	3114	3293
486	3116	3283
487	3119	3272
488	3122	3263
489	3127	3254
490	3129	3244
491	3132	3234
492	3153	3243
493	3162	3239
494	3165	3229
495	3169	3220
496	3171	3209
497	3176	3201
498	3178	3191
499	3181	3181
500	3184	3171
501	3189	3164
502	3193	3155
503	3195	3145
504	3198	3135
505	3200	3124
506	3204	3116
507	3207	3106
508	3210	3097
509	3213	3087
510	3217	3078
511	3235	3083
512	3247	3082
513	3249	3072
514	3285	3093
515	3287	3083
516	3289	3073
517	3293	3064
518	3296	3055
519	3303	3048
520	3306	3039
521	3308	3030
522	3311	3020
523	3319	3015
524	3323	3006
525	3325	2996
526	3328	2987
527	3332	2978
528	3336	2970
529	3338	2960
530	3344	2953
531	3347	2944
532	3349	2935
533	3352	2925
534	3354	2915
535	3363	2911
536	3365	2901
537	3368	2892
538	3377	2888
539	3379	2878
540	3381	2868
541	3383	2858
542	3385	2849
543	3387	2839
544	3389	2829
545	3391	2820
546	3394	2811
547	3397	2802
548	3401	2794
549	3407	2787
550	3409	2778
551	3412	2769
552	3419	2764
553	3422	2755
554	3425	2746
555	3427	2736
556	3436	2733
557	3438	2724
558	3441	2715
559	3445	2707
560	3452	2701
561	3454	2692
562	3456	2682
563	3459	2674
564	3461	2665
565	3465	2657
566	3467	2648
567	3473	2642
568	3476	2633
569	3480	2625
570	3482	2616
571	3484	2607
572	3487	2599
573	3496	2594
574	3514	2597
575	3522	2592
576	3526	2585
577	3528	2575
578	3531	2567
579	3539	2563
580	3541	2554
581	3544	2545
582	3547	2537
583	3553	2531
584	3556	2523
585	3559	2514
586	3567	2510
587	3571	2502
588	3574	2494
589	3576	2485
590	3579	2477
591	3589	2474
592	3593	2466
593	3595	2457
594	3616	2461
595	3619	2453
596	3622	2445
597	3635	2444
598	3638	2435
599	3641	2427
600	3657	2427
601	3661	2420
602	3664	2412
603	3668	2404
604	3670	2396
605	3684	2395
606	3687	2387
607	3706	2390
608	3715	2385
609	3718	2377
610	3721	2369
611	3761	2384
612	3763	2376
613	3765	2367
614	3768	2358
615	3770	2350
616	3774	2343
617	3777	2334
618	3797	2337
619	3801	2329
620	3815	2328
621	3818	2320
622	3825	2315
623	3827	2306
624	3830	2298
625	3833	2290
626	3834	2281
627	3843	2276
628	3846	2268
629	3861	2267
630	3863	2259
631	3866	2251
632	3872	2245
633	3875	2237
634	3878	2229
635	3879	2220
636	3882	2212
637	3895	2210
638	3898	2202
639	3901	2194
640	3906	2187
641	3909	2180
642	3912	2172
643	3915	2164
644	3923	2159
645	3945	2162
646	3949	2154
647	3953	2147
648	3958	2140
649	3960	2132
650	3965	2125
651	3979	2123
652	3981	2116
653	3988	2110
654	3991	2102
655	4024	2110
656	4028	2102
657	4030	2094
658	4033	2086
659	4035	2079
660	4038	2071
661	4041	2063
662	4043	2055
663	4046	2047
664	4048	2039
665	4051	2031
666	4064	2029
667	4067	2021
668	4070	2013
669	4076	2007
670	4078	1999
671	4080	1991
672	4083	1984
673	4090	1978
674	4093	1971
675	4096	1963
676	4098	1955
677	4108	1951
678	4111	1943
679	4114	1936
680	4127	1933
681	4130	1925
682	4136	1919
683	4139	1912
684	4142	1904
685	4145	1897
686	4163	1896
687	4167	1889
688	4182	1887
689	4202	1887
690	4206	1881
691	4210	1873
692	4212	1866
693	4214	1858
694	4216	1850
695	4218	1842
696	4220	1834
697	4222	1827
698	4225	1819
699	4235	1815
700	4240	1808
701	4249	1804
702	4265	1802
703	4269	1795
704	4274	1788
705	4277	1781
706	4280	1773
707	4284	1766
708	4287	1759
709	4322	1765
710	4325	1758
711	4329	1751
712	4339	1746
713	4342	1739
714	4346	1732
715	4351	1725
716	4354	1718
717	4358	1711
718	4361	1704
719	4364	1697
720	4366	1689
721	4381	1687
722	4384	1679
723	4388	1672
724	4391	1665
725	4394	1658
726	4396	1651
727	4399	1643
728	4402	1636
729	4404	1629
730	4407	1622
731	4414	1616
732	4418	1609
733	4420	1602
734	4423	1594
735	4437	1591
736	4439	1584
737	4445	1578
738	4448	1571
